Id;Lon;Lat;Z_DSM;Bearing;DistanceValue;DistanceUnit;Z_sampled;dZ
483;0;0;93.039;238.2509;6.462;m;;
484;0;0;93.039;238.251;5.5694;m;;
485;0;0;93.039;238.251;5.3825;m;;
486;0;0;93.039;238.251;6.8361;m;;
487;0;0;93.039;238.251;6.537;m;;
488;0;0;93.039;238.251;5.8746;m;;
489;0;0;94.0198;238.251;5.3453;m;;
490;0;0;94.0198;238.251;5.6301;m;;
491;0;0;94.0198;238.2511;5.2012;m;;
492;0;0;94.0198;238.2511;5.7567;m;;
493;0;0;93.6389;238.2511;6.0347;m;;
494;0;0;93.6389;238.2511;5.8965;m;;
495;0;0;93.6389;238.2511;5.7746;m;;
496;0;0;93.6389;238.2511;6.2573;m;;
497;0;0;93.6389;238.2512;6.2487;m;;
498;0;0;93.6389;238.2512;5.5279;m;;
499;0;0;94.0741;238.2512;6.2212;m;;
500;0;0;94.7214;238.2512;6.5197;m;;
501;0;0;94.7214;238.2512;5.5962;m;;
502;0;0;94.7214;238.2512;6.8441;m;;
503;0;0;94.7214;238.2513;5.9349;m;;
504;0;0;94.4162;238.2513;5.9417;m;;
505;0;0;94.4162;238.2513;5.2256;m;;
506;0;0;94.4162;238.2513;6.3583;m;;
507;0;0;94.4162;238.2513;6.1769;m;;
508;0;0;94.4162;238.2513;6.6882;m;;
509;0;0;93.947;238.2514;6.3976;m;;
510;0;0;93.947;238.2514;6.6947;m;;
511;0;0;93.947;216.7864;6.04;m;;
512;0;0;93.2464;201.7992;6.9094;m;;
513;0;0;93.2464;201.7992;8.2597;m;;
514;0;0;92.7866;201.7993;9.072;m;;
515;0;0;92.7866;201.7993;7.1184;m;;
516;0;0;92.7866;201.7993;8.2217;m;;
517;0;0;92.7866;201.7994;8.1863;m;;
518;0;0;92.8125;201.7994;8.6262;m;;
519;0;-7.37E-05;92.8125;201.7994;7.4328;m;;
520;0;-0.00010291;92.8125;201.7994;8.7714;m;;
521;-2.93E-05;-0.00017657;92.8125;201.7995;8.7703;m;;
522;0;-0.00017657;92.6359;201.7995;8.4281;m;;
523;0;-7.37E-05;92.6359;201.7995;7.5219;m;;
524;0;0;92.6359;201.7996;7.1171;m;;
525;0;0;92.6359;201.7996;8.7315;m;;
526;0;0;92.6359;201.7996;7.3106;m;;
527;0;0;92.3432;201.7996;8.5386;m;;
528;0;0;92.3432;201.7997;7.0993;m;;
529;0;0;92.3432;201.7997;7.6569;m;;
530;0;0;92.3432;201.7997;8.6065;m;;
531;0;0;93.4157;201.7998;7.9661;m;;
532;0;0;93.4157;201.7998;7.6874;m;;
533;0;0;93.4157;201.7998;7.3968;m;;
534;0;0;93.4157;201.7998;7.2204;m;;
535;0;0;93.3258;201.7999;8.8905;m;;
536;0;0;93.3258;201.7999;7.4416;m;;
